H_f,LE_f,H_orig,location,day,year,month,date,30min,LE_orig,waterVaporPressure,soilHeatflux,incomingShortwaveRadiation,airPressure,relativeHumidity,waterPressureDeficit,windSpeed,outgoingShortwaveRadiation
-17.28022,4.533874,-17.28022,0,20,2023,2,2023-02-20 07:00:00,14,4.5339,7.472636128785681,-6.124333333333333,-1.5279999999999998,992.6886666666666,86.23633333333333,1.1926628698409774,1.4903333333333333,0.3356666666666667
-24.94383,9.033453999999999,-24.94383,0,20,2023,2,2023-02-20 07:30:00,15,9.0335,7.588484562156891,-6.189666666666667,6.039999999999999,992.2773333333333,86.58666666666666,1.1755490405805116,1.6979999999999997,1.705
-21.287329999999997,8.531913000000001,-21.287329999999997,0,20,2023,2,2023-02-20 08:00:00,16,8.5319,7.6742502790103595,-5.918666666666667,30.372,992.268,85.54966666666667,1.296270095910672,1.8616666666666666,6.547999999999999
-16.63798,13.2999,-16.63798,0,20,2023,2,2023-02-20 08:30:00,17,13.3,7.778539758108673,-5.3806666666666665,54.75666666666666,992.1186666666666,85.43166666666667,1.3264444492796947,1.8923333333333332,11.176333333333332
-13.945929999999999,21.73602,-13.945929999999999,0,20,2023,2,2023-02-20 09:00:00,18,21.736,7.869121510291111,-4.466333333333334,111.76633333333335,992.1363333333334,83.611,1.5424648961519525,2.2479999999999998,22.540666666666667
10.51195,33.3594,10.51195,0,20,2023,2,2023-02-20 09:30:00,19,33.359,8.029245530891227,-2.7153333333333336,179.36233333333334,992.091,81.47500000000001,1.8256124389046935,1.789,36.227666666666664
4.017268,29.0335,4.01727,0,20,2023,2,2023-02-20 10:00:00,20,29.034000000000002,8.042294924366056,-0.20100000000000004,167.04233333333335,991.9286666666667,80.69833333333334,1.9235799483484435,2.1310000000000002,32.96733333333333
49.55857,61.66285,49.55857,0,20,2023,2,2023-02-20 10:30:00,21,61.663000000000004,8.144599702751753,1.6316666666666666,305.5993333333333,991.7953333333335,77.79266666666666,2.3250243013340057,2.244666666666667,62.79366666666667
59.59295,74.67168000000001,59.59295,0,20,2023,2,2023-02-20 11:00:00,22,74.672,8.248109845438604,5.151666666666666,328.99133333333333,991.3843333333334,75.062,2.7402862077422387,2.529666666666667,65.46766666666667
70.71854,82.87539,70.71854,0,20,2023,2,2023-02-20 11:30:00,23,82.875,8.493737185486555,8.223666666666666,375.98499999999996,990.9259999999999,72.29366666666668,3.2551995846591293,2.4316666666666666,74.51833333333333
43.78751,77.76133,43.78751,0,20,2023,2,2023-02-20 12:00:00,24,77.76100000000001,8.441065241008824,10.775,275.95233333333334,990.5723333333332,71.34166666666665,3.3908215586764836,2.7703333333333333,52.427
35.96047,71.62979,35.96047,0,20,2023,2,2023-02-20 12:30:00,25,71.63,8.617640285059023,11.390333333333333,262.48966666666666,989.997,70.60033333333332,3.588591439615115,2.4996666666666667,51.766
19.09246,63.314659999999996,19.09246,0,20,2023,2,2023-02-20 13:00:00,26,63.315,8.952966427653493,11.853000000000002,205.21933333333334,989.3513333333334,69.33833333333332,3.9590347659914276,2.5086666666666666,39.14066666666667
-8.673261,47.06094,-8.67326,0,20,2023,2,2023-02-20 14:00:00,28,47.06100000000001,9.793069603860308,10.902000000000001,87.952,989.2813333333334,73.95466666666667,3.4489204493168284,3.67,16.78333333333333
19.70782,52.40951,19.70782,0,20,2023,2,2023-02-20 14:30:00,29,52.41,10.067206365224473,10.481333333333334,189.93500000000003,989.2293333333333,76.36266666666666,3.1162074738563277,3.903,39.031
6.672725,25.48423,6.67272,0,20,2023,2,2023-02-20 16:00:00,32,25.484,9.238924983339682,6.950333333333333,44.877,989.9056666666667,84.11133333333333,1.7452368616828071,3.1783333333333332,8.951
-4.791197,19.56008,-4.7912,0,20,2023,2,2023-02-20 16:30:00,33,19.56,9.07860659898753,5.425666666666667,31.555000000000003,990.0743333333334,84.746,1.6341191921855405,3.144,6.589666666666666
-8.089402,20.22804,-8.0894,0,20,2023,2,2023-02-20 17:00:00,34,20.227999999999998,8.9595868151887,4.037666666666666,10.886333333333333,990.1346666666667,85.86633333333333,1.4747551060012505,3.6293333333333333,2.297333333333333
-12.69192,14.31179,-12.69192,0,20,2023,2,2023-02-20 17:30:00,35,14.312000000000001,8.96730091385137,2.5220000000000002,0.63,990.1583333333333,86.56033333333335,1.3922951834965698,2.9146666666666667,0.15566666666666668
