year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,day_of_year,H_orig,LE_orig
2023,7,15,17,1,606.0,-37.00871504069122,15.53290335320502,3.9263333333333335,196,196,75.60226,82.649
2023,5,30,41,1,-1.6623333333333334,-34.81584132119357,4.538269161067021,3.1443333333333334,150,150,-50.01778,2.0938
2023,3,20,46,0,-0.7656666666666666,-2.8366666666666673,1.510153506729523,0.8239999999999998,79,79,-4.3667300000000004,4.6072
2024,6,14,36,0,59.40733333333333,-1.159,5.607328012833506,1.7510000000000001,166,166,-7.260389999999999,25.428
2024,5,17,6,0,-2.751333333333333,-20.39266666666667,1.9496607825800822,2.6773333333333333,138,138,-52.06516,22.737
2024,4,11,31,0,304.09233333333333,25.04133333333333,9.157680377745688,1.673,102,102,15.94789,101.53
2024,6,12,46,1,-1.1863333333333335,4.132824237016967,2.689508485795999,2.692,164,164,-38.2222,9.0165
2024,6,15,29,0,487.657,32.626,13.20920311584506,2.7836666666666665,167,167,37.67005,187.21
2024,6,23,18,1,537.5,0.27944037540130395,4.862707129340388,2.302,175,175,129.0413,136.39
2023,5,25,21,0,608.724,10.415333333333333,3.455401507114404,1.5483333333333331,145,145,124.4235,95.54700000000001
2024,5,15,12,1,237.26666666666668,-2.7342573093859266,5.996138973782031,4.31,136,136,31.882609999999996,38.563
2024,5,7,25,0,242.42033333333336,19.477,5.533959380631668,1.3236666666666668,128,128,30.01748,87.807
2024,4,2,44,1,-0.08566666666666667,1.1837433149456282,1.0990948457802432,4.648333333333333,93,93,-77.91818,82.48200000000001
2023,6,15,44,1,-3.7739999999999996,-28.004422262966994,8.258472725930767,3.111,166,166,-46.07199,36.918
