year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,H_orig,LE_orig,day_of_year
2024,5,3,42,0,-1.7986666666666666,-11.058333333333332,2.6054182604082854,0.7376666666666667,124,-5.7752300000000005,5.5138,124
2024,5,3,42,1,-0.922,-1.2977323981110018,1.9936062210448355,2.3253333333333335,124,-10.18828,8.8434,124
2024,5,3,44,1,-0.8130000000000001,-0.7279503060624406,1.9146937558211743,2.033,124,-14.20437,7.0806,124
2024,5,3,45,1,-0.6499999999999999,-0.4746695516123284,2.0196597767454563,2.361,124,-16.484679999999997,7.3832,124
2024,5,3,46,1,-0.6269999999999999,-0.1582182223637538,2.058644839084888,2.289,124,-10.18641,5.0402,124
2024,5,4,0,1,-0.6329999999999999,0.20565788640354787,1.7393510435032393,2.214,125,-10.173580000000001,4.9097,125
2024,5,4,1,1,-0.543,0.4903308032266247,1.8180524806826437,2.6806666666666668,125,-9.52464,4.2824,125
2024,5,4,2,1,-0.6426666666666666,0.7276952702260281,1.9047347767349603,2.639666666666667,125,-12.48814,4.8217,125
2024,5,4,3,1,-0.612,0.901615334958029,1.8662189572199797,2.3876666666666666,125,-13.10707,3.0858,125
2024,5,4,4,1,-0.6453333333333333,1.1701908165676518,1.8311987584594007,2.4623333333333335,125,-13.52515,4.6047,125
2024,5,4,5,1,-0.5503333333333333,1.280801442159714,1.8493145994888263,2.936666666666667,125,-16.2581,4.6347,125
2024,5,4,6,1,-0.5356666666666667,1.4704096471258656,1.955578394976234,2.489666666666667,125,-14.394329999999998,7.5045,125
2024,5,4,7,0,-1.2016666666666667,-11.774000000000001,0.742118410485384,0.5383333333333334,125,-1.26796,0.8319,125
2024,5,4,7,1,-0.6813333333333333,1.5492483968309392,2.0459230853676615,1.6820000000000002,125,-8.01797,3.6293,125
2024,5,4,8,1,-0.6286666666666667,1.7706666473986128,1.8894248136331075,1.5519999999999998,125,-4.18426,1.3788,125
2024,5,4,9,0,0.7896666666666666,-11.809333333333333,0.6429330430204274,0.597,125,-1.47479,1.6196,125
2024,5,4,9,1,1.5876666666666666,1.833807710070394,1.8848366709540603,2.0066666666666664,125,-9.26533,4.9415,125
2024,5,4,10,0,9.634333333333332,-11.438666666666668,0.6956391406052767,0.9163333333333332,125,-2.24857,3.0163,125
2024,5,4,10,1,11.119666666666665,1.9922131261790488,1.944837518910921,1.296,125,-2.6916,1.4634,125
2024,5,4,13,1,72.08666666666667,2.0702964220475573,2.0735836970481305,1.8186666666666664,125,2.09721,13.405999999999999,125
2024,5,4,14,1,91.69999999999999,1.991340609691946,2.2928730598257214,1.991666666666667,125,4.88769,9.4997,125
2024,5,4,15,0,114.78133333333334,0.02166666666666665,2.4684938278238224,0.304,125,5.84944,25.385,125
2024,5,4,16,0,151.24033333333333,3.6786666666666665,3.183862691104288,0.3873333333333333,125,11.67557,32.224000000000004,125
2024,5,4,16,1,169.9,1.9593979584034078,3.4111849559478404,1.4420000000000002,125,21.01736,32.674,125
2024,5,4,17,1,229.1,1.6430661231271706,3.2255435229103515,1.934,125,33.335640000000005,18.339000000000002,125
2024,5,4,18,0,354.4213333333333,14.638333333333334,5.179886701629952,0.6503333333333333,125,42.32543,86.88600000000001,125
2024,5,4,18,1,380.73333333333335,1.2483258611101655,3.266095732378803,1.712,125,93.87312,25.263,125
2024,5,4,19,0,582.7106666666667,28.503666666666664,7.204313880245717,1.0223333333333333,125,79.76846,104.05,125
2024,5,4,19,1,564.4,0.963733779145064,4.54301953473222,1.736666666666667,125,179.081,74.682,125
2024,5,4,20,0,475.2483333333333,40.744,7.391058584137072,1.223,125,71.63834,112.47,125
2024,5,4,20,1,479.53333333333336,0.5211958936673681,5.164530909010349,2.391,125,124.5738,39.272,125
2024,5,4,21,0,478.82033333333334,37.78,7.848983657224029,2.0163333333333333,125,52.485690000000005,85.645,125
2024,5,4,21,1,435.6666666666667,0.047372818193547425,5.109020999239988,2.3716666666666666,125,166.6743,48.239,125
2024,5,4,22,0,410.954,38.589666666666666,7.83381112240173,2.1353333333333335,125,46.37023,96.323,125
2024,5,4,22,1,458.76666666666665,-0.5525945004271872,5.477608628271218,1.93,125,173.9163,78.793,125
2024,5,4,23,0,371.29133333333334,36.78466666666667,7.822077763852414,2.133666666666667,125,41.01129,87.829,125
2024,5,4,23,1,455.5,-1.136631269188306,5.735757583543597,2.4116666666666666,125,196.9635,91.74600000000001,125
2024,5,4,24,0,338.4066666666667,31.26,7.58835912288653,2.0853333333333333,125,31.96302,86.147,125
2024,5,4,24,1,481.26666666666665,-1.6888337501841653,6.340010861374079,2.2046666666666668,125,196.5551,118.38,125
2024,5,4,25,0,405.44800000000004,30.221333333333334,8.078520843975388,1.6836666666666666,125,42.25448,100.42,125
2024,5,4,25,1,490.73333333333335,-2.4303662615124093,6.470535456386029,1.874666666666667,125,204.9971,90.758,125
2024,5,4,26,0,407.19666666666666,35.27333333333333,8.554383077596107,1.8626666666666667,125,36.61721,82.165,125
2024,5,4,26,1,332.6666666666667,-2.887233003814087,6.263576325019143,2.0063333333333335,125,156.705,54.26,125
2024,5,4,27,0,299.31300000000005,34.333666666666666,8.073359784116702,1.8343333333333334,125,24.82965,70.872,125
2024,5,4,27,1,324.2,-3.4707279476534483,5.588381851810697,1.8153333333333332,125,138.1267,61.269,125
2024,5,4,28,0,173.05999999999997,26.024333333333335,6.9622835518265465,1.4969999999999999,125,8.82062,57.371,125
2024,5,4,28,1,201.23333333333335,-3.9434887335547297,5.6253006620240384,1.9683333333333335,125,65.85358000000001,68.362,125
2024,5,4,29,1,256.59999999999997,-4.3373773954751975,5.816040728790014,2.339,125,58.90968,29.954,125
2024,5,4,30,0,179.76166666666668,17.093999999999998,7.424318079343596,1.9716666666666667,125,6.64245,57.928000000000004,125
2024,5,4,31,0,126.33833333333335,13.262,6.965614357360076,1.7510000000000001,125,-3.6257,48.963,125
2024,5,4,31,1,130.36666666666667,-4.682213163340919,5.67892033430755,2.4629999999999996,125,48.12303,31.055999999999997,125
2024,5,4,32,0,76.10166666666667,8.92,6.3881384852359755,1.2853333333333332,125,-5.56416,30.005,125
2024,5,4,32,1,82.24333333333333,-4.9023970345980095,5.277714310201221,2.6759999999999997,125,14.90219,7.9666,125
