30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,year,H_orig,LE_orig
14,19.23333333333333,176,394.5333333333333,1,2023,31.44955,32.594
32,18.777333333333335,137,346.0623333333333,0,2024,16.80946,69.279
20,16.096666666666668,131,347.4666666666667,1,2024,94.6176,66.57600000000001
18,17.653333333333332,135,671.6333333333333,1,2024,224.3357,150.98
39,16.37,211,8.806,1,2023,-45.95709,18.503
42,8.033333333333333,143,-1.2143333333333333,1,2023,-28.34868,5.6964
46,14.53,141,-2.095,1,2024,-56.8565,10.508
23,14.89,154,100.06466666666668,0,2024,11.26298,27.351
30,22.436666666666667,164,570.6999999999999,1,2023,163.3294,124.52
28,5.302666666666666,111,417.3666666666666,1,2024,171.2994,-34.765
7,1.143333333333333,74,-0.7436666666666666,0,2023,-15.312220000000002,8.896
11,14.126666666666669,136,131.423,0,2024,-31.32197,27.26
29,14.612666666666668,128,169.51,0,2024,13.11534,53.968
27,17.026666666666667,147,819.0,1,2023,295.0682,111.16
44,17.637,134,-4.971,0,2024,-59.519659999999995,23.469
29,15.459666666666667,155,218.20166666666668,0,2024,20.49185,59.215
4,13.97,185,-1.914,1,2023,-55.271980000000006,5.7741
12,0.77,65,-0.7623333333333333,0,2023,-4.270569999999999,3.1505
21,24.731,142,723.6916666666666,0,2023,61.10894,206.94
1,14.794333333333334,150,-1.7990000000000002,0,2024,-23.62018,31.82
1,16.090000000000003,123,-4.347333333333334,0,2024,-57.95141,20.173
27,16.986666666666668,184,727.2333333333332,1,2023,215.6264,171.24
33,5.396666666666667,112,312.8,1,2024,137.6667,38.814
31,25.35666666666667,181,498.8999999999999,1,2024,94.18948,102.21
20,20.215333333333337,179,841.6053333333333,0,2023,144.5432,234.87
10,12.383333333333336,184,44.60333333333333,1,2023,-22.65433,32.701
20,4.441666666666666,108,500.7,1,2024,155.988,132.08
25,15.951666666666668,130,664.1763333333333,0,2023,90.99288,139.83
10,11.973333333333334,199,57.73,1,2023,-34.29091,15.431
32,16.849999999999998,150,540.7333333333333,1,2023,212.2309,95.135
1,8.276666666666666,153,-0.6063333333333333,1,2023,27.49458,24.358
35,2.3256666666666668,108,60.98333333333334,1,2024,12.91315,29.296999999999997
