30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,soilTemperature,windSpeed,H_orig,LE_orig
27,16.455333333333332,162,235.96833333333333,0,17.946666666666665,1.498,22.73479,94.322
14,13.520666666666664,162,411.90333333333336,0,18.276777777777777,0.741,60.036,83.34299999999999
4,18.296666666666667,197,-1.2576666666666665,1,15.27395,3.421333333333333,-33.48303,22.362
19,19.676666666666662,170,704.2666666666668,1,12.255555555555556,1.397333333333333,199.6789,157.42
37,12.816,162,49.12233333333333,0,18.022111111111112,1.4283333333333337,-8.22061,23.083
22,17.042333333333332,103,411.4546666666667,0,12.257777777777775,2.703333333333333,51.86869,124.02
15,2.8176666666666663,108,176.73333333333335,1,9.03888888888889,3.3463333333333334,38.41435,47.093999999999994
32,23.194000000000003,153,463.7016666666666,0,18.044444444444444,0.882,38.62284,110.58
38,17.060000000000002,156,79.65666666666668,1,11.923333333333334,2.090333333333333,-10.04571,13.144
27,14.576666666666666,152,866.6666666666666,1,11.334885,3.828333333333333,298.5714,77.62100000000001
30,17.566666666666666,149,607.9666666666667,1,11.0419975,3.409333333333333,235.0356,120.37
39,12.840000000000002,72,-3.3369999999999997,0,5.929777777777777,1.7006666666666668,-43.48045,3.1671
39,9.862333333333334,94,-0.767,0,12.265,1.832,-10.88079,10.957
4,12.675,104,-3.3446666666666665,0,12.98877777777778,0.6333333333333333,-28.83776,-2.9595
28,24.058999999999997,99,393.88733333333334,0,13.258222222222225,1.803,-9.06382,122.51
43,16.563333333333333,174,-2.0659999999999994,1,17.782519999999998,3.292,-39.05885,7.6012
33,20.116666666666667,175,278.9666666666667,1,13.138888888888893,3.1503333333333337,41.38977,120.48
23,16.423333333333332,202,615.8000000000001,1,14.510525,2.6193333333333335,165.5842,154.62
17,15.223333333333334,169,406.7333333333333,1,11.933333333333335,3.477,93.79684,56.142
4,13.449999999999998,121,-2.289,1,8.863333333333333,2.7776666666666663,-34.55827,3.1116
28,8.804,114,312.6836666666666,0,9.897777777777778,0.8609999999999999,49.88994,77.46
4,8.526666666666667,101,-3.908,0,13.47011111111111,1.7823333333333335,-30.663090000000004,10.995
40,16.02333333333333,156,6.074999999999999,1,11.933333333333332,2.5513333333333335,-19.10698,9.0344
25,16.59,77,631.4746666666666,0,7.039888888888889,2.4266666666666663,142.7607,132.2
6,15.442333333333332,180,-0.7893333333333333,0,17.963666666666665,0.6386666666666668,-1.76947,4.7948
20,13.926333333333334,77,336.73766666666666,0,6.954222222222223,2.376,43.05402,54.96
30,24.176666666666662,162,695.8666666666668,1,14.610275,2.845,216.8472,220.14
1,18.89,142,-2.983333333333333,0,13.47,1.8396666666666668,-28.2496,12.272
3,9.909999999999998,128,-1.173,1,10.27222222222222,1.9673333333333336,-37.83755,18.918
44,13.276666666666666,152,-0.4206666666666667,1,12.167777777777776,3.017,-8.3593,4.9479
15,17.316666666666666,137,475.58833333333337,0,17.094666666666665,3.1519999999999997,80.10455,84.39
41,3.817,116,-2.0003333333333333,1,7.002888888888889,2.283,-19.95889,4.9609
6,16.363333333333333,210,-0.574,1,14.3273725,4.124666666666666,-30.610559999999996,17.311
15,18.862,211,351.157,0,20.091222222222225,1.7779999999999998,19.59232,80.977
35,6.830666666666667,92,21.656666666666663,1,7.885111111111112,6.273666666666666,-43.90044,46.706
31,4.138000000000001,110,92.687,0,11.428555555555556,1.242,42.63869,5.8495
46,14.466666666666669,118,-2.677666666666667,1,7.623555555555556,2.562666666666667,-46.51953,7.5291
26,7.234333333333333,116,301.7066666666667,0,7.883,1.9773333333333336,42.28273,69.95100000000001
1,6.688666666666666,93,-1.6283333333333332,1,7.915,4.744666666666666,-26.44778,3.2856
15,19.476333333333333,142,383.15366666666665,0,13.140333333333333,1.522333333333333,30.41352,78.189
21,20.77,172,615.3666666666667,1,17.439077500000003,3.4403333333333332,154.435,123.53
11,7.501,93,-1.3876666666666668,0,12.13,1.8783333333333332,-20.50665,16.05
6,13.92,182,-1.0883333333333332,1,17.54308,4.685333333333333,-45.70075,9.9099
