year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,H_orig,LE_orig
2023,169,25,0,739.9656666666666,43.60566666666667,122.8601,278.85
2023,141,35,0,269.6813333333333,22.199,-29.64593,84.255
2024,134,4,0,-4.179333333333333,-18.735666666666663,-39.26295,7.883
2023,147,12,1,213.73333333333335,-31.953736959254044,30.614959999999996,21.097
2024,151,9,1,8.487,1.9850386586918976,-10.51193,10.509
2024,139,0,1,-1.133,-2.7400709114056716,-47.34468,1.97
2023,205,42,0,-2.0263333333333335,-22.285,-28.84204,41.695
2023,208,15,0,85.59433333333334,-8.863,-3.75011,31.677
2024,133,17,0,608.1256666666667,18.720666666666663,104.2776,116.49
2023,177,47,1,-2.7340000000000004,-21.402499605029075,-47.63111,4.0849
2024,120,24,0,766.1703333333334,70.83366666666667,121.2476,167.5
2023,145,30,0,596.1186666666666,37.36033333333333,90.7315,92.63
2023,190,39,0,1.5396666666666663,-2.1003333333333334,-42.3925,80.33
2024,134,17,1,568.3,-2.760439366930358,198.6508,70.07300000000001
2023,162,23,1,893.3333333333334,-24.4908166603372,323.4545,290.08
2023,156,37,1,149.93333333333334,-40.76438125090836,12.45494,60.088
2023,74,7,0,-0.7436666666666666,-14.858,-15.312220000000002,8.896
2024,112,15,0,245.799,-9.830666666666666,26.60816,42.083
2023,149,19,0,738.2933333333334,18.267666666666667,111.9355,92.897
2024,136,9,1,24.570000000000004,-3.805595308884559,-39.7284,9.905
2024,156,21,1,267.8,2.2104414487569586,120.0592,61.356
2023,184,28,1,521.9666666666667,-30.26184547782138,123.9156,189.93
2023,65,12,0,-0.7623333333333333,-6.880666666666667,-4.270569999999999,3.1505
2023,144,19,1,334.4,-29.686399752399883,128.7611,60.65
2024,163,34,1,363.3333333333333,0.5885658550532727,84.50654,83.06200000000001
2024,124,26,0,160.0923333333333,9.348333333333334,12.83286,51.711000000000006
2023,207,3,1,-2.128,-40.16838389243613,-38.436,1.9377
2024,154,38,0,16.651,-3.9766666666666666,-9.38494,22.962
2023,169,20,0,795.6653333333334,26.087333333333333,130.8342,106.82
2023,187,28,1,494.26666666666665,-43.63227480525656,63.33152,79.825
2023,183,34,0,295.37533333333334,3.0196666666666663,8.162230000000001,113.97
2023,131,6,1,-0.409,-28.851598207070182,-4.10986,1.1552
2024,154,29,0,94.883,0.8243333333333333,11.68342,44.215
2024,125,6,1,-0.5356666666666667,1.4704096471258656,-14.394329999999998,7.5045
2024,154,34,0,78.20766666666667,0.2006666666666667,4.15356,28.005
2023,48,14,0,-0.5106666666666667,5.051333333333333,-17.427570000000003,1.7336
2024,161,31,0,683.5623333333333,32.241,76.51575,194.31
2024,101,38,1,1.0783333333333334,-0.5432398030412696,-15.04049,0.65358
2023,147,31,1,595.9333333333333,-36.23571312432406,213.1818,111.42
2023,201,29,0,770.0233333333334,48.32966666666666,119.0284,256.07
