year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2023,4,27,22,0,685.3530000000001,140.5589,150.43
2023,6,19,38,0,62.278,-11.71353,38.777
2023,5,9,25,0,755.628,93.80897,184.64
2023,5,15,34,0,103.039,-4.98342,35.434
2024,4,13,18,0,472.0933333333334,55.3347,107.77
2023,6,7,5,1,-0.6326666666666667,-24.3862,13.626
2023,6,30,27,1,218.5,86.35848,76.685
2024,4,13,42,0,-4.578,-49.80592,14.855
2024,5,15,47,1,-2.2536666666666663,-45.96075,9.294
2023,7,14,42,0,-3.348333333333333,-13.83707,11.883
2023,5,28,2,1,-2.391,-36.76064,8.9128
2023,7,6,30,1,558.7333333333332,216.3324,275.95
2024,6,6,42,1,-2.235,-44.14469,7.9416
2024,5,7,41,1,-2.231666666666667,-35.09319,9.5984
2023,7,5,13,0,66.29833333333333,-10.93133,26.274
2023,5,24,24,1,690.1666666666666,272.2163,155.65
2024,4,15,47,1,-0.0796666666666666,-53.930240000000005,201.96
2024,5,15,46,0,-4.291666666666667,-66.12451,31.168000000000003
2024,4,10,30,0,356.95966666666664,49.46691,84.485
2024,4,26,25,0,386.823,53.217969999999994,98.859
2024,5,15,0,1,-2.813,-70.44608000000001,11.99
2023,6,14,19,1,649.2,232.8594,135.39
2023,6,4,43,1,-2.9873333333333334,-38.521440000000005,5.5096
2023,7,3,35,0,176.49866666666665,-7.432289999999999,86.74799999999999
2024,4,10,33,0,350.02400000000006,45.81093,69.14699999999999
2023,7,17,1,1,-1.4813333333333334,-43.07208,6.5195
2024,4,11,12,0,53.74333333333333,-17.281979999999997,7.5806
2024,5,23,24,1,749.1999999999999,258.5682,163.49
2024,4,24,28,1,567.1333333333333,281.9071,112.45
2024,6,4,19,1,447.4,105.7298,126.28
2024,5,27,36,0,58.81233333333333,-11.76338,25.595
2023,6,28,47,1,-0.5136666666666667,-2.0942,-0.025929
2023,7,11,35,1,280.2,7.04398,116.13
2023,5,18,30,0,575.2356666666666,74.28745,110.83
2024,4,27,10,1,14.250666666666667,-11.44527,-0.21113
2024,5,14,28,1,756.6333333333332,258.2039,270.74
2023,7,23,6,1,-0.8410000000000001,-9.45072,4.5394
2023,6,9,8,1,6.908333333333334,-62.84846999999999,8.8195
2023,5,20,27,0,236.21466666666663,20.67509,65.065
2024,6,2,6,1,-0.3716666666666666,-4.23681,11.336
2023,5,25,19,0,298.85600000000005,57.858909999999995,49.31399999999999
2024,5,29,0,1,-0.6936666666666667,-24.74207,5.2993
2023,7,13,25,0,638.9063333333335,86.53493,164.34
2023,7,20,5,1,-0.6779999999999999,-25.03556,0.8012600000000001
2023,6,25,14,1,394.5333333333333,31.44955,32.594
2024,5,16,32,0,346.0623333333333,16.80946,69.279
2024,5,10,20,1,347.4666666666667,94.6176,66.57600000000001
2024,5,14,18,1,671.6333333333333,224.3357,150.98
2023,7,30,39,1,8.806,-45.95709,18.503
