year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,H_orig,LE_orig
2023,181,7,1,0.1013333333333333,-26.96533459051653,1.3590344394244056,-6.671410000000001,-2.5132
2023,143,26,1,168.33333333333334,-27.20587553509656,0.4553616751187253,21.3986,77.18
2024,173,38,1,63.116666666666674,-15.15925637529243,3.4538552746047273,-27.38053,27.528
2024,168,6,1,-1.3493333333333333,-0.7811855372461163,6.1310909501449125,-27.918709999999997,2.8208
2024,114,10,1,13.454333333333333,16.736836510271544,1.903386028927528,-7.86027,0.57222
2024,146,14,1,239.5,-1.35581290397434,0.8417926500892214,23.20607,67.559
2023,207,24,1,653.6,-41.39713998117562,6.563639631569615,161.4361,162.65
2024,151,33,1,188.63333333333335,-2.757231312446324,0.7460200593728885,-2.64383,101.68
2024,133,25,0,891.8906666666667,80.41766666666666,12.819493290824164,111.1416,183.93
2024,102,7,1,-2.384333333333333,9.627719874003438,3.8910148946833103,-52.3421,21.576
2023,196,13,0,271.72166666666664,8.430333333333333,13.648249527097414,14.436370000000002,55.667
2024,181,29,0,666.0210000000001,62.9,20.43080645855703,60.19115,172.05
2024,139,1,0,-2.621,-22.291666666666668,2.4085283737362495,-30.86933,11.143
2023,197,3,0,-2.0316666666666667,-14.236,2.8629957925207137,-13.64272,12.281
2023,212,28,1,204.5666666666667,-42.597673756922795,2.4706862340856883,-13.232870000000002,76.426
2024,130,45,1,-2.685,-6.036658843807556,7.65875946754676,-10.24026,0.81393
2024,158,14,1,349.09999999999997,7.5757639692454175,4.124986708032354,34.50795,43.185
2023,198,21,0,479.052,83.54666666666667,14.47147950516437,62.240590000000005,116.44
2023,131,9,1,4.747333333333333,-29.05754872700856,0.763234532968319,-3.04861,-4.706
2024,156,7,0,-0.6623333333333333,-14.769666666666666,0.4749747088434812,-0.8820600000000001,2.5163
2023,179,16,0,592.5276666666667,-3.018,7.21887390000532,105.9947,92.517
2024,148,38,1,22.05333333333333,-9.823253032657524,4.607340887567993,-4.98629,32.681
2024,106,12,0,8.760666666666667,-10.755,0.1965302538651485,-3.4729099999999997,3.9987
2023,208,34,0,118.23866666666667,10.888666666666666,1.7754898560067467,5.09818,46.953
2024,159,26,1,409.4666666666667,-2.2799169656926033,9.38755411368916,100.5331,128.7
2024,110,15,1,35.31333333333333,11.915597054664198,0.5890707161001645,-35.25357,118.26
2023,132,32,0,556.3199999999999,29.301,15.846646054336842,26.171570000000003,132.74
2023,181,36,1,149.4,-26.55958456757404,4.683222248768157,-13.17034,78.55199999999999
2023,160,15,1,461.93333333333334,-29.660565481276187,7.848824998110562,108.5858,96.507
2024,160,18,1,702.2333333333332,-0.8425824102552477,9.64938490559253,182.1602,106.9
2024,99,36,1,60.46333333333334,-22.057702153229517,17.640439411369844,-16.7048,28.115
2023,211,23,0,99.13733333333332,4.872,1.143621161385596,17.03099,31.335
2024,149,35,1,306.03333333333336,-3.1372829500110737,9.122517618245425,62.21445,58.891000000000005
2023,159,16,1,192.26666666666665,-32.13797800765989,4.021742352105669,44.48968,43.167
2024,164,28,0,534.084,20.472,6.562902553881015,73.55872,173.15
2024,97,23,1,426.5666666666666,-14.495165627887497,9.372617769249544,99.28526,45.217
2023,132,42,1,-2.2983333333333333,-27.60359305357194,9.726044713300343,-40.74517,8.7639
2024,93,45,1,0.4816666666666666,1.4627821126225855,1.3828013646355064,-88.39024,72.408
2023,185,30,1,513.7666666666667,-31.284506316812234,13.016685802923316,133.0469,141.25
2023,148,28,0,809.9426666666667,53.95066666666667,17.787587780159264,64.78438,184.86
2023,195,38,0,51.44766666666666,-14.755666666666665,18.01718206137765,-20.99905,21.246
2023,152,30,1,702.5333333333333,-36.040183150721354,4.46308742100266,248.3917,74.619
2024,140,29,1,499.26666666666665,-4.698640609596795,4.768882366261739,133.5747,142.72
2023,133,17,0,564.6623333333333,8.631333333333332,6.9774398568052725,67.19167,108.39
2023,204,12,1,118.5,-45.50124320948939,5.79506473162372,-18.05145,24.864
2023,115,31,0,296.28900000000004,1.138,5.300132230852969,31.4982,91.954
2023,124,40,0,-4.522,-0.1293333333333333,6.842896054737359,-56.41585,22.765
2023,58,32,0,86.82499999999999,2.5456666666666665,2.723611449357609,6.70736,17.398
2023,193,33,0,480.453,17.212333333333333,19.268671075116902,30.53046,171.64
2023,145,25,1,558.2333333333333,-31.931086743955145,5.233710724534639,229.1542,143.98
2023,120,19,0,716.8543333333333,7.408333333333334,3.869322100351745,124.2845,142.3
2024,97,43,0,-6.0603333333333325,-1.3246666666666669,14.446770849073957,-26.44728,9.4596
2024,112,27,1,227.16666666666663,6.279932284501448,3.293824343460547,83.19138000000001,25.466
2024,126,28,1,699.5666666666666,-4.1777964002605605,7.635720010389273,293.13599999999997,95.257
