year,month,day,30min,location,netRadiation,incomingShortwaveRadiation,soilHeatflux,airPressure,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,day_of_year,H_orig,LE_orig
2024,4,9,26,0,8.976999999999999,46.00999999999999,6.515333333333334,983.2813333333334,3.5231979911070113,10.696624386561538,3.731333333333333,75.22333333333333,100,-13.22959,64.018
2024,4,24,35,0,12.885666666666667,69.097,1.1019999999999999,975.4979999999999,2.9206759556306654,7.089866804277017,1.4766666666666666,70.824,115,-2.15555,25.646
2023,7,24,25,1,417.88399999999996,552.1333333333333,-47.70222179835915,948.0,10.889314263011816,14.880144433079884,5.258,57.74333333333333,205,72.93845,133.45
2023,6,18,25,0,432.6873333333333,739.9656666666666,43.60566666666667,985.9219999999999,25.486444882013686,9.857724456232427,1.6603333333333332,27.890666666666664,169,122.8601,278.85
2023,5,21,35,0,104.815,269.6813333333333,22.198999999999998,986.379,16.234602424962098,14.998600475513928,3.655666666666667,48.02133333333334,141,-29.64593,84.255
2024,5,12,43,1,-83.20333333333326,-2.2613333333333334,-7.858635089838356,960.0,6.451582176395702,10.755696032341055,3.3706666666666667,62.50666666666667,133,-53.76375,2.1436
2023,5,27,12,1,83.53000000000009,213.73333333333335,-31.953736959254044,970.0,2.6378717851013036,8.406950762426833,2.4066666666666667,76.11666666666666,147,30.614959999999996,21.096999999999998
2024,5,30,9,1,3.313000000000045,8.487,1.9850386586918976,949.0,0.7195622040981515,12.284574014543118,1.9670000000000003,94.46666666666665,151,-10.51193,10.509
2023,7,12,37,0,81.03466666666667,184.843,-12.699999999999998,984.2579999999999,16.93808853152975,12.3508543045439,1.4409999999999998,42.169000000000004,193,-21.75093,83.285
2023,7,15,35,0,-56.00066666666667,54.74700000000001,1.0983333333333332,981.3359999999999,8.88787635541318,20.03302940546272,1.453,69.26833333333333,196,-31.012970000000003,60.468
2024,5,11,35,1,91.87666666666661,216.4,-12.027775617835896,965.0,10.119935895130812,11.875143207522555,2.919,53.99000000000001,132,37.155229999999996,42.25
2024,5,12,17,0,288.22166666666664,608.1256666666667,18.720666666666666,992.2823333333332,7.177291644620016,13.026772212547016,2.2560000000000002,64.476,133,104.2776,116.49
2023,6,30,20,1,105.61866666666674,127.06666666666666,-26.76502853317665,956.0,0.7009720451120334,14.761646597065093,4.11,95.46666666666665,181,15.326620000000002,42.81100000000001
2024,4,9,7,1,-37.68299999999999,-0.9879999999999999,-9.226200918934733,950.0,12.858557429999765,9.654236436355236,2.9983333333333335,42.88333333333333,100,-32.13884,10.515999999999998
2023,5,25,30,0,342.2296666666666,596.1186666666666,37.36033333333333,997.21,8.356448428845475,11.12093894318189,1.5543333333333333,57.096666666666664,145,90.7315,92.63
2024,4,13,42,0,-54.88166666666666,-4.578,0.06966666666666667,990.9230000000001,8.242116546230054,12.640390095007508,1.4753333333333334,60.531,104,-49.80592,14.855
2024,5,13,17,1,381.8533333333332,568.3,-2.760439366930358,959.0,5.811145579467219,12.605753573714331,2.289333333333333,68.44666666666666,134,198.6508,70.07300000000001
2023,6,11,23,1,650.6676666666667,893.3333333333334,-24.490816660337202,964.0,18.955718925920436,10.256361403745824,3.585333333333333,35.11,162,323.4545,290.08
2023,6,5,37,1,12.566666666666663,149.93333333333334,-40.76438125090836,963.0,16.857975528445785,7.436556145348399,1.888,30.61,156,12.454939999999999,60.088
2023,3,15,7,0,-10.647,-0.7436666666666666,-14.857999999999999,982.4436666666667,1.6139086762849209,5.02241088956771,1.0156666666666665,75.68066666666667,74,-15.312220000000002,8.896
2024,4,3,25,1,268.74833333333345,325.43333333333334,-2.998995022358368,950.0,2.2965039654275987,9.450319387143232,3.9303333333333335,80.44999999999999,94,120.8587,83.434
2023,5,29,19,0,404.45733333333334,738.2933333333334,18.267666666666667,994.3006666666666,7.665205587196155,12.1083158553323,1.7286666666666666,61.23500000000001,149,111.9355,92.897
2024,6,17,19,0,263.037,426.03933333333333,39.793,983.6443333333333,7.823891460248214,15.832301223429111,1.7113333333333334,66.92666666666666,169,60.12225,119.28
2024,6,4,21,1,200.67333333333323,267.8,2.2104414487569586,959.0,6.791468336873752,10.552879165144855,0.9746666666666668,60.843333333333334,156,120.0592,61.356
2024,6,10,11,1,47.302666666666596,157.41666666666666,5.503558793223998,951.0,3.1174654364676613,8.529354375989358,1.6643333333333334,73.23333333333333,162,5.2531,19.067999999999998
2023,3,6,12,0,-13.208666666666666,-0.7623333333333333,-6.880666666666667,975.803,0.38412315146834786,6.07534688443437,0.9856666666666666,94.05333333333334,65,-4.270569999999999,3.1505
2023,5,24,19,1,252.13166666666672,334.4,-29.686399752399883,964.6666666666666,2.4323952944266587,8.02052818828352,2.285,76.73,144,128.7611,60.65
2024,5,30,10,1,15.041999999999973,22.679999999999996,2.0664511110424764,949.0,0.7070864274872477,12.468437066063913,1.5810000000000002,94.63333333333333,151,-13.08848,9.3959
2024,5,3,3,1,-51.56566666666674,-1.817,-9.383103355290022,947.0,1.6492748103828259,12.903149987112716,1.889,88.66666666666667,124,-7.85735,-0.9697100000000001
2023,7,3,7,0,-20.196,-0.8683333333333333,-13.285333333333334,981.6186666666667,3.464751413410516,12.56759976613006,1.2573333333333332,78.389,184,-20.25081,18.435
